Title,Event Date,URL,Image URL,Description
Drake - The Anita Max Win Tour,2025-03-15,https://www.sparkarena.co.nz/all-events/drake-tickets-ae106041,https://dynamicmedia.livenationinternational.com/x/w/e/aaeee6cd-c005-4482-ad16-10f8d5320460.jpg?format=webp&width=3840&quality=75,"Five-time GRAMMY-award winning and multi-platinum global artist Drake will bring his highly anticipated The Anita Max Win Tour to New Zealand in 2025!

The Canadian born hip hop artist first emerged in the music industry in 2009 when he debuted his EP So Far Gone, named the hottest mixtape of the year by MTV and selling over 650,000 copies. Fast forward to 2018, Drake dropped the platinum double LP, Scorpion which included a staggering 25 tracks. Succeeding the album’s release, Drake hit the road headlining the U.S. tour Aubrey & the Three Migos, which featured surprise guests like Meek Mill, French Montana, and Travis Scott among many others.

Over the last five years, Drake has focused on the development and creation of his music, leading to some of his most praised work. Topping the U.S. charts in August of 2019, Drake released Care Package, his first compilation album that consists of songs from 2010 to 2016 that weren’t initially available for commercial streaming. In September of 2021, Drake released his most highly anticipated album yet titled, Certified Lover Boy. CLB marked his sixth studio album and broke Apple Music’s one-day streaming record in just under 12 hours.

Leading into Summer of 2022, Drake surprised fans with his seventh studio album, Honestly Nevermind which includes a notable feature from 21 Savage. Drake and 21 Savage’s collaborative studio album titled, Her Loss quickly followed with its debut in November of 2022. The album reached number one on the Billboard’s 200 chart and all 16 songs debuted on Billboard’s Hot 100 list.

Most recently, Drake released his eighth studio album, For All The Dogs via OVO Sound and Republic Records. In 2023 and 2024, he embarked on the twoleg It’s All A Blur tour with 21 Savage and J.Cole. Spanning over 80 sold-out dates across the U.S., the tour further solidified Drake’s status as one of the most dynamic and sought-after live performers in the world."
Drake - The Anita Max Win Tour,2025-03-16,https://www.sparkarena.co.nz/all-events/drake-tickets-ae106041,https://dynamicmedia.livenationinternational.com/x/w/e/aaeee6cd-c005-4482-ad16-10f8d5320460.jpg?format=webp&width=3840&quality=75,"Five-time GRAMMY-award winning and multi-platinum global artist Drake will bring his highly anticipated The Anita Max Win Tour to New Zealand in 2025!

The Canadian born hip hop artist first emerged in the music industry in 2009 when he debuted his EP So Far Gone, named the hottest mixtape of the year by MTV and selling over 650,000 copies. Fast forward to 2018, Drake dropped the platinum double LP, Scorpion which included a staggering 25 tracks. Succeeding the album’s release, Drake hit the road headlining the U.S. tour Aubrey & the Three Migos, which featured surprise guests like Meek Mill, French Montana, and Travis Scott among many others.

Over the last five years, Drake has focused on the development and creation of his music, leading to some of his most praised work. Topping the U.S. charts in August of 2019, Drake released Care Package, his first compilation album that consists of songs from 2010 to 2016 that weren’t initially available for commercial streaming. In September of 2021, Drake released his most highly anticipated album yet titled, Certified Lover Boy. CLB marked his sixth studio album and broke Apple Music’s one-day streaming record in just under 12 hours.

Leading into Summer of 2022, Drake surprised fans with his seventh studio album, Honestly Nevermind which includes a notable feature from 21 Savage. Drake and 21 Savage’s collaborative studio album titled, Her Loss quickly followed with its debut in November of 2022. The album reached number one on the Billboard’s 200 chart and all 16 songs debuted on Billboard’s Hot 100 list.

Most recently, Drake released his eighth studio album, For All The Dogs via OVO Sound and Republic Records. In 2023 and 2024, he embarked on the twoleg It’s All A Blur tour with 21 Savage and J.Cole. Spanning over 80 sold-out dates across the U.S., the tour further solidified Drake’s status as one of the most dynamic and sought-after live performers in the world."
Russell Peters - Relax World Tour,2025-03-18,https://www.sparkarena.co.nz/all-events/russell-peters-tickets-ae107247,https://networksites.livenationinternational.com/networksites/rqnhhhuo/russell-peters-2025.jpg?format=webp&width=3840&quality=75,"Russell Peters returns to Australia and New Zealand on his Relax World Tour. Russell was recently named as one of Rolling Stone's 50 Best Comics of All Time. He started doing stand-up at the age of nineteen at open mics in his native Toronto, and spent the next fifteen years honing his craft at clubs across Canada and the UK. In 2004, Peters gained critical and global recognition for his CTV ""Comedy Now!"" special and soon became the first comedian to sell-out Toronto's Air Canada Centre in 2007. Peters went on to set attendance records at venues from Madison Square Garden to The Sydney Opera House to London's O2 Arena - where he broke the UK attendance record for highest number of tickets sold for an individual comedy show. 

His subsequent tours were captured in his successful specials broadcast on Showtime and Comedy Central: Outsourced in 2006; Red, White and Brown in 2008; and, The Green Card Tour in 2010. In 2013, Peters became the first comedian to create a Netflix Original Comedy Special. His Deported World Tour was seen by over 400,000 fans in 40 cities across 20 countries and culminated in the stand-up special, Russell Peters Deported, on Amazon Prime in January 2020. Peters is currently on the road with his Act Your Age World Tour. Peters has been awarded Gemini, Peabody, Emmy and Canadian Screen Awards for his hosting, producing and acting talents. His last TV series, The Indian Detective, set a Canadian viewership record for Bell Media/CTV in 2017 and was released globally on Netflix. He has a blue belt with three stripes in Jiu Jitsu and is an ardent DJ and hip-hop junkie who tries to get on the turntables for at least a few minutes every day.

Don’t miss Russell Peters live!"
Cigarettes After Sex - X's World Tour,2025-03-19,https://www.sparkarena.co.nz/all-events/cigarettes-after-sex-tickets-ae851886,https://dynamicmedia.livenationinternational.com/y/l/e/406c7366-9da4-436d-84c2-d05d6a8bd49e.jpg?format=webp&width=3840&quality=75,"Dream-pop band Cigarettes After Sex is hitting the road on a world tour in support of their newly announced album ‘X’s’. Making their highly anticipated return to New Zealand after 7 years, don’t miss their one-off show at our place on 19 March 2025!"
Nelly - Where The Party At Tour,2025-03-21,https://www.sparkarena.co.nz/all-events/nelly-tickets-ae773759,https://dynamicmedia.livenationinternational.com/s/s/a/4e4e6060-0d00-49ce-bd1d-1dafe532371a.jpg?format=webp&width=3840&quality=75,"Dream-pop band Cigarettes After Sex is hitting the road on a world tour in support of their newly announced album ‘X’s’. Making their highly anticipated return to New Zealand after 7 years, don’t miss their one-off show at our place on 19 March 2025!"
Kehlani - Crash World Tour,2025-03-23,https://www.sparkarena.co.nz/all-events/kehlani-tickets-ae767163,https://dynamicmedia.livenationinternational.com/t/u/j/ee09e4fd-d1b6-4fd7-aa3d-ec1320b9ef19.jpg?format=webp&width=3840&quality=75,"Following the release of her new album, CRASH, Kehlani announces the highly anticipated CRASH WORLD TOUR featuring special guest and local icon JESSB.

Kehlani will open your eyes, open your mind, and open your heart. For as blunt as she may be about life, longing, lust, and love, her music occupies an elevated state above even the best high—yet accessible by simply listening. The Bay Area-born two-time GRAMMY® Award-nominated multi-platinum songstress unlocks this place anytime she picks up a pen or grabs a microphone. Since 2014, her light has only continued to glow brighter. Thus far, she’s picked up over twenty Gold and Platinum RIAA certifications, tallied 9 billion streams, and garnered a pair of GRAMMY® Award nominations in the categories of “Best Urban Contemporary Album'' for the gold-certified mixtape You Should Be Here and “Best R&B Performance” for the platinum single “Distraction.”

Beyond blockbuster collaborations with Cardi B, Justin Bieber, Post Malone, Burna Boy, Young Boy Never Broke Again, Calvin Harris, she has appeared on soundtracks such as Suicide Squad: The Album, The Fate of the Furious: The Album, and more. Along the way, she’s received the “Rule Breaker Award'' from Billboard Women In Music and performed at Voodoo Music + More, Coachella, and beyond.

She welcomed everyone into the rapture of her third full-length album, blue water road (Atlantic Records) in 2022. After she concluded a sold-out run through North America, featuring support from Rico Nasty and Destin Conrad, she brought her acclaimed The Blue Water Road Trip to a close in Australia/Asia. Earlier this year, Kehlani made a triumphant return with her acclaimed fourth studio album, CRASH, featuring the smash hit “After Hours.” Kehlani describes her new album as her “most free, most fun, most loud, and most fueled” project thus far and plans to keep the party going on her forthcoming global arena tour, CRASH WORLD TOUR.

Since emerging as a dynamic breath of fresh air in New Zealand’s music scene, JESSB has taken that early momentum & has created it into a proper whirlwind. Mixing afro-inspired diasporic sounds, both high energy & introspective, JESSB is becoming a force to be reckoned with both at home and around the globe. She has collaborated with the likes of Saweetie, Doja Cat, Sister Nancy, Sampa The Great, Kranium, G Flip and Baker Boy."
Cody Johnson,2025-03-29,https://www.sparkarena.co.nz/all-events/cody-johnson-tickets-ae1525147,https://dynamicmedia.livenationinternational.com/j/s/m/2cdc46a5-ca5f-4d59-b2e0-745a1363de3a.jpg?format=webp&width=3840&quality=75,"Multi-platinum selling artist Cody Johnson is set to hit arenas down under in March 2025!

Already announced as the headliner for the sold out 2025 instalment of Australia’s premiere country music festival, CMC Rocks QLD, CoJo will take his dynamic Leather Deluxe Tour to all ages audiences, making his New Zealand debut at Auckland’s Spark Arena.

Cody Johnson will be joined by a stellar lineup on all antipodean dates, including multi-platinum selling star Cole Swindell, along with America’s Ashley Cooke and Queensland’s Wade Forster.

Known for his explosive live shows and electrifying stage presence, Cody Johnson has established a following of passionately loyal fans and regularly sells out shows around the world. After joining Luke Combs’ sold-out Australasian arena dates just last year, CoJo converted legions of fans across the country and is a true force to be reckoned with. Cody has 42 Gold and Platinum certifications, has nearly 8 billion global streams and three No.1 singles.

Cody Johnson’s Leather Deluxe Tour promises to be one for the ages. Together with an incredible lineup of international and local stars, don’t miss CoJo when he lands down under in March 2025!"
Dua Lipa 'Radical Optimism Tour',2025-04-02,https://www.sparkarena.co.nz/all-events/dua-lipa-tickets-ae780986,https://dynamicmedia.livenationinternational.com/p/q/m/4074c677-f118-4fff-8901-00c64d6b8310.png?format=webp&width=3840&quality=75,"Multi-platinum selling artist Cody Johnson is set to hit arenas down under in March 2025!

Already announced as the headliner for the sold out 2025 instalment of Australia’s premiere country music festival, CMC Rocks QLD, CoJo will take his dynamic Leather Deluxe Tour to all ages audiences, making his New Zealand debut at Auckland’s Spark Arena.

Cody Johnson will be joined by a stellar lineup on all antipodean dates, including multi-platinum selling star Cole Swindell, along with America’s Ashley Cooke and Queensland’s Wade Forster.

Known for his explosive live shows and electrifying stage presence, Cody Johnson has established a following of passionately loyal fans and regularly sells out shows around the world. After joining Luke Combs’ sold-out Australasian arena dates just last year, CoJo converted legions of fans across the country and is a true force to be reckoned with. Cody has 42 Gold and Platinum certifications, has nearly 8 billion global streams and three No.1 singles.

Cody Johnson’s Leather Deluxe Tour promises to be one for the ages. Together with an incredible lineup of international and local stars, don’t miss CoJo when he lands down under in March 2025!"
Dua Lipa 'Radical Optimism Tour',2025-04-04,https://www.sparkarena.co.nz/all-events/dua-lipa-tickets-ae780986,https://dynamicmedia.livenationinternational.com/p/q/m/4074c677-f118-4fff-8901-00c64d6b8310.png?format=webp&width=3840&quality=75,"Multi-platinum selling artist Cody Johnson is set to hit arenas down under in March 2025!

Already announced as the headliner for the sold out 2025 instalment of Australia’s premiere country music festival, CMC Rocks QLD, CoJo will take his dynamic Leather Deluxe Tour to all ages audiences, making his New Zealand debut at Auckland’s Spark Arena.

Cody Johnson will be joined by a stellar lineup on all antipodean dates, including multi-platinum selling star Cole Swindell, along with America’s Ashley Cooke and Queensland’s Wade Forster.

Known for his explosive live shows and electrifying stage presence, Cody Johnson has established a following of passionately loyal fans and regularly sells out shows around the world. After joining Luke Combs’ sold-out Australasian arena dates just last year, CoJo converted legions of fans across the country and is a true force to be reckoned with. Cody has 42 Gold and Platinum certifications, has nearly 8 billion global streams and three No.1 singles.

Cody Johnson’s Leather Deluxe Tour promises to be one for the ages. Together with an incredible lineup of international and local stars, don’t miss CoJo when he lands down under in March 2025!"
DAY6 3RD WORLD TOUR <FOREVER YOUNG> in AUCKLAND,2025-04-12,https://www.sparkarena.co.nz/all-events/day6-tickets-ae1238598,https://dynamicmedia.livenationinternational.com/d/i/a/424e3c1d-0a23-4487-b55e-f972df26e419.jpg?format=webp&width=3840&quality=75,"My Day! The wait is finally over. DAY6 (데이식스) are coming to New Zealand for the first time ever this April on their 3RD WORLD TOUR <FOREVER YOUNG>.

DAY6 is a South Korean pop-rock band under JYP Entertainment. The group debuted on September 7, 2015, with their EP <The Day>, which peaked at No. 2 on Billboard’s World Album Chart just a week after its release. The band consists of four members: SUNGJIN, Young K, WONPIL, and DOWOON. Unlike typical bands, three members of DAY6 contribute as both instrumentalists and vocalists.

DAY6’s music spans a wide spectrum and is not confined to any single genre. Their sound seamlessly blends elements of pop, rock, hip-hop, and more, all while maintaining the unique identity that sets DAY6 apart. Known as the “trustworthy band” for their consistent delivery of quality music, every album they release receives widespread acclaim from both the public and critics. In 2024, DAY6 made a highly anticipated comeback with their album <Fourever> after all the members completed their military service, bringing a refreshing and energetic sound that continues to resonate deeply within the evolving landscape of the Korean music scene."
Toto With Christopher Cross,2025-04-23,https://www.sparkarena.co.nz/all-events/toto-tickets-ae105042,https://dynamicmedia.livenationinternational.com/m/s/s/b24646a8-ca26-4ec5-b6ef-4acbd06c7bdb.jpeg?format=webp&width=3840&quality=75,"TOTO will bring their global DOGZ OF OZ tour with special guest CHRISTOPHER CROSS to New Zealand in 2025!

Toto are one of the few 70’s bands that have endured the changing trends and styles while continuing to remain relevant. Joining Steve Lukather (guitar/vocals) and Joseph Williams (vocals) are Greg Phillinganes (keyboards / vocals), Shannon Forrest (drums), John Pierce (bass), Warren Ham (horns / percussion / vocals), and Dennis Atlas (keyboards / vocals). Special guest Christopher Cross and the members of Toto have been friends and collaborators for more
than four decades.

Cumulative Toto album sales now exceed 50 million copies, while the band’s repertoire is played more than three million times daily on Spotify alone by an audience that continues to get younger month to month. ‘Africa’ has been streamed TWO BILLION times on Spotify, while ‘Hold The Line’ has amassed one BILLION plays on the platform.

Don't miss this iconic performance!"
Bluey's Big Play The Stage Show,2025-04-26,https://www.sparkarena.co.nz/all-events/bluey-s-big-play-tickets-ae1428161,https://dynamicmedia.livenationinternational.com/d/d/v/6bb1edb9-e8bd-4171-b5e6-351bb838e068.jpg?format=webp&width=3840&quality=75,"For the first time ever, hit theatre show Bluey’s Big Play The Stage Show will visit Aotearoa following a global tour across Australia, UK, Ireland, Singapore, Spain, Abu Dhabi and North America.

Bluey’s Big Play, a brand-new theatrical adaptation of the BAFTA & Emmy® award-winning children’s television series produced by Ludo Studio, will hit the road in April 2025 and tour to Dunedin, Christchurch, Wellington, Hamilton and Auckland.

Audiences of all ages will get to see Bluey, her younger sister Bingo and Mum & Dad embark on their first live theatre show, featuring brilliantly created puppets, live actors, and iconic sets. Based on an original new story written by Bluey creator Joe Brumm, the theatrical adaptation contains music by Bluey composer, Joff Bush. Bluey’s Big Play is produced by Andrew Kay and Live Nation with Windmill Theatre Co for BBC Studios.

The stage show has enjoyed much success in Australia, where it premiered in Bluey’s hometown Brisbane and went on to perform 447 times across 65 venues, including the Sydney Opera House. The tour is currently in the US where it’s played at the Hulu Theatre at Madison Square Garden in New York, the Dolby Theatre in Los Angeles and the iconic Chicago Theatre. A Canadian tour was also announced earlier this year. Bluey’s Big Play is set to make its debut in Paris, France later this year. Bluey’s Big Show has been seen by nearly 1 million fans
worldwide.

Since bursting on to TV screens in Australia in 2018, Bluey has enjoyed critical success at home and abroad, recently winning a 2022 BAFTA Children & Young People Award in the International category and picking up its consecutive fourth AACTA Best Children’s Programme award to add to an International Emmy.

Bluey is the #1 children’s show in Australia, the US, the UK, Canada, Spain, Portugal, Poland and South Africa. #1 on Disney Junior in the UK, and the #1 rated show on CBeebies in the UK. Bluey is the number one most-watched series on streaming among total views in the US, with over 35 billion minutes watched (584M hours), according to Nielson data. Bluey also remains popular on Neon and TVNZ+ which broadcast Bluey in New Zealand."
